t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:39:26+0200 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://premium-size-unreached.ngrok-free.dev
t=2026-05-15T15:39:28+0200 lvl=info msg="join connections" obj=join id=8ed2d851d498 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:28+0200 lvl=info msg="join connections" obj=join id=c16e30132e59 l=127.0.0.1:8000 r=81.221.235.143:64106
t=2026-05-15T15:39:28+0200 lvl=info msg="join connections" obj=join id=cd747d10d60b l=127.0.0.1:8000 r=81.221.235.143:62769
t=2026-05-15T15:39:32+0200 lvl=info msg="join connections" obj=join id=5d1045687d23 l=127.0.0.1:8000 r=81.221.235.143:64020
t=2026-05-15T15:39:32+0200 lvl=info msg=start pg=/api/tunnels id=854a3b02b85b71f3
t=2026-05-15T15:39:32+0200 lvl=info msg=end pg=/api/tunnels id=854a3b02b85b71f3 status=200 dur=526.6µs
t=2026-05-15T15:39:32+0200 lvl=info msg="join connections" obj=join id=d1cd61a7748b l=127.0.0.1:8000 r=81.221.235.143:63618
t=2026-05-15T15:39:34+0200 lvl=info msg="join connections" obj=join id=38568d79aad0 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:34+0200 lvl=info msg="join connections" obj=join id=9359fa1ff3ec l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=90c6fa6b75e7 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=9e4d74958ffc l=127.0.0.1:8000 r=81.221.235.143:60144
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=3bde541089d8 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=ea7baede23b1 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=c1a2ba8a25bd l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=8e22db356d80 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=68e887cdbc16 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=bae638a6506d l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=27053f198007 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:36+0200 lvl=info msg="join connections" obj=join id=b5714f404e69 l=127.0.0.1:8000 r=81.221.235.143:59566
t=2026-05-15T15:39:37+0200 lvl=info msg="join connections" obj=join id=9e3a2b1387cb l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:37+0200 lvl=info msg="join connections" obj=join id=753c7fea5cdd l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:37+0200 lvl=info msg="join connections" obj=join id=44d80b59b124 l=127.0.0.1:8000 r=81.221.235.143:62195
t=2026-05-15T15:39:37+0200 lvl=info msg="join connections" obj=join id=2d8945fafb0f l=127.0.0.1:8000 r=81.221.235.143:64774
t=2026-05-15T15:39:40+0200 lvl=info msg="join connections" obj=join id=8064dc8ae9b4 l=127.0.0.1:8000 r=81.221.235.143:59297
t=2026-05-15T15:39:40+0200 lvl=info msg="join connections" obj=join id=d1c138b4681c l=127.0.0.1:8000 r=81.221.235.143:62157
t=2026-05-15T15:39:43+0200 lvl=info msg="join connections" obj=join id=ce1745cc8091 l=127.0.0.1:8000 r=81.221.235.143:62816
t=2026-05-15T15:39:43+0200 lvl=info msg="join connections" obj=join id=bbdc4e547bc0 l=127.0.0.1:8000 r=81.221.235.143:60214
t=2026-05-15T15:39:43+0200 lvl=info msg="join connections" obj=join id=270e11aa5fea l=127.0.0.1:8000 r=81.221.235.143:60667
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=20ead0150a2b l=127.0.0.1:8000 r=81.221.235.143:59291
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=ea0e4eaa970e l=127.0.0.1:8000 r=81.221.235.143:59280
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=cad5e49bcb42 l=127.0.0.1:8000 r=81.221.235.143:64384
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=a60da2c65e16 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=bbfa0bd5ef75 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:39:46+0200 lvl=info msg="join connections" obj=join id=77f0aac68f97 l=127.0.0.1:8000 r=81.221.235.143:63770
